volume,clinic,tag_year,action,action_date,action_year,action_month,address,city,zip
1000.0,Southern Animal Foundation,2015,Delivered,2014-12-12 00:00:00,2014.0,12.0,1823 Magazine Street,New Orleans,70130.0
200.0,Banfield 1023 (Elmwood),2015,Delivered,2014-12-13 00:00:00,2014.0,12.0,1000 S Clearview Prkwy Ste 1050,Harahan,70123.0
100.0,Animal Care Center,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,313 David Dr.,Metairie,70003.0
-83.0,Animal Care Center,2015,Returned,2016-01-05 00:00:00,2016.0,1.0,313 David Dr.,Metairie,70003.0
100.0,Allstar Animal Clinic,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,4701 S Carrollton Ave,New Orleans,70119.0
1000.0,Metairie Small Animal Hospital,2015,Delivered,2014-12-18 00:00:00,2014.0,12.0,101 Metairie Rd,Metairie,70005.0
-48.0,Metairie Small Animal Hospital,2015,Returned,2015-01-13 00:00:00,2015.0,1.0,101 Metairie Rd,Metairie,70005.0
500.0,Crescent City Veterinary Hospital,2015,Delivered,2014-12-18 00:00:00,2014.0,12.0,524 Jefferson Ave,New Orleans,70115.0
500.0,Algiers Animal Clinic,2015,Delivered,2014-12-26 00:00:00,2014.0,12.0,3807 General DeGaulle,Algiers,70114.0
200.0,Animal Medical & Surgical Hospital,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,3001 North Causeway Blvd,Metairie,70002.0
30.0,At Home Veterinary Care,2015,Delivered,2015-02-04 00:00:00,2015.0,2.0,PO Box 231145,Harahan,70123.0
50.0,Annual Rabies Vaccination Drive,2015,Delivered,2015-03-28 00:00:00,2015.0,3.0,,,
100.0,Aurora Animal Hospital,2015,Delivered,2015-01-05 00:00:00,2015.0,1.0,565 Holmes Blvd,Gretna,70056.0
100.0,House Calls!,2015,Delivered,2015-01-07 00:00:00,2015.0,1.0,,,
-85.0,House Calls!,2015,Returned,2016-02-02 00:00:00,2016.0,2.0,,,
100.0,Banfield 1175 (Veterans),2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,6851 Veterans Memorial Blvd,Metairie,70003.0
200.0,Canal Street Veterinary Hospital,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,4022 Canal St,New Orleans,70119.0
100.0,Villalobos,2015,Delivered,2015-11-04 00:00:00,2015.0,11.0,,,
100.0,Chateau Veterinary Hospital,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,704 W. Esplanade Ave ,Kenner,70065.0
-98.0,Chateau Veterinary Hospital,2015,Returned,2016-01-05 00:00:00,2016.0,1.0,704 W. Esplanade Ave ,Kenner,70065.0
-2.0,Chateau Veterinary Hospital,2015,Returned,2015-11-15 00:00:00,2015.0,11.0,704 W. Esplanade Ave ,Kenner,70065.0
100.0,"Manhattan Animal Clinic, LLC",2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,,,
58.0,"Manhattan Animal Clinic, LLC",2015,Delivered,2015-12-27 00:00:00,2015.0,12.0,,,
100.0,Natural Pet Care,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,3825 Hessmer Ave,Metairie,70002.0
200.0,Banfield 1034 (West Bank),2015,Delivered,2014-12-26 00:00:00,2014.0,12.0,1321 Manhattan Blvd,Harvey,70058.0
100.0,Banfield 1175 (Veterans),2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,6851 Veterans Memorial Blvd,Metairie,70003.0
300.0,Carrollton Veterinary Hospital,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,3501 S. Carrollton Ave,New Orleans,70118.0
100.0,Clearview Veterinary Hospital,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,4713 Trenton Street,Metairie,70006.0
-28.0,Clearview Veterinary Hospital,2015,Returned,2016-01-05 00:00:00,2016.0,1.0,4713 Trenton Street,Metairie,70006.0
100.0,Convenient Home Veterinary Care,2015,Delivered,2015-01-05 00:00:00,2015.0,1.0,P.O. Box 1242,Harvey,70059.0
-54.0,Convenient Home Veterinary Care,2015,Returned,2016-03-23 00:00:00,2016.0,3.0,P.O. Box 1242,Harvey,70059.0
500.0,Maple Small Animal Clinic,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,7608 Maple St,New Orleans,70118.0
200.0,Desoto Park Veterinary Clinic,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,2659 Desoto St,New Orleans,70119.0
300.0,Doskey Mobile Veterinary Care,2015,Delivered,2015-01-06 00:00:00,2015.0,1.0,,,
500.0,Elysian Fields Animal Clinic,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,4237 Elysian Fields Ave,New Orleans,70122.0
-10.0,Fur De Lis Vet Services,2015,Returned,2015-01-25 00:00:00,2015.0,1.0,P.O. Box 791715   -   5045 Hastings Street,New Orleans - Metairie,
100.0,Fur De Lis Vet Services,2015,Delivered,2015-01-27 00:00:00,2015.0,1.0,P.O. Box 791715   -   5045 Hastings Street,New Orleans - Metairie,
100.0,Gretna Animal Hospital,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,714 Kepler St,Gretna,70053.0
100.0,Hickory Knoll Veterinary Hospital,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,1625 Hickory Ave,Harahan,70123.0
100.0,Home Veterinary Services,2015,Delivered,2015-02-13 00:00:00,2015.0,2.0,"PO Box 11120, Jefferson, 10181-1120",,
-1.0,Home Veterinary Services,2015,Returned,2015-11-15 00:00:00,2015.0,11.0,"PO Box 11120, Jefferson, 10181-1120",,
-3.0,Home Veterinary Services,2015,Returned,2015-11-15 00:00:00,2015.0,11.0,"PO Box 11120, Jefferson, 10181-1120",,
-70.0,Home Veterinary Services,2015,Returned,2016-01-05 00:00:00,2016.0,1.0,"PO Box 11120, Jefferson, 10181-1120",,
100.0,Jester Veterinarian Clinic,2015,Delivered,2014-12-26 00:00:00,2014.0,12.0,4 Westbank Expressway,,
200.0,Lake Animal Hospital,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,604 Veterans Memorial Blvd,Metairie,70005.0
300.0,Midcity Veterinary Hospital,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,3821 Orleans Ave,New Orleans,70119.0
500.0,Lakeview Veterinary Hospital,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,6245 Memphis Ave,New Orleans,70124.0
500.0,Magazine Street Animal Clinic,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,3458 Magazine St,New Orleans,70115.0
500.0,NOLA Animal Clinic,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,4554 Downman Rd,New Orleans,70126.0
500.0,Pet Care Center,2015,Delivered,2014-12-26 00:00:00,2014.0,12.0,2212 David Drive,Metairie,70003.0
50.0,Annual Rabies Vaccination Drive,2015,Delivered,2015-03-26 00:00:00,2015.0,3.0,,,
50.0,W. Esplanade Vet Clinic,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,3640 W. Esplanade Ave,Metairie,70002.0
-34.0,W. Esplanade Vet Clinic,2015,Returned,Unknown,Unknown,Unknown,3640 W. Esplanade Ave,Metairie,70002.0
100.0,Terry Parkway Animal Clinic,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,636 Terry Parkway,Terrytown,70056.0
-43.0,Terry Parkway Animal Clinic,2015,Returned,2016-01-05 00:00:00,2016.0,1.0,636 Terry Parkway,Terrytown,70056.0
100.0,Southshore Animal Hospital,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,213 Live Oak St,Metairie,70005.0
100.0,Terrytown Veterinary Clinic,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,867 Terry Parkway,Terrytown,70056.0
-51.0,Terrytown Veterinary Clinic,2015,Returned,2015-12-29 00:00:00,2015.0,12.0,867 Terry Parkway,Terrytown,70056.0
100.0,The Cat Hospital of Metairie,2015,Delivered,2014-12-27 00:00:00,2014.0,12.0,1500 Veterans Memorial Blvd.,Metairie,70005.0
500.0,Prytania Veterinary Hospital,2015,Delivered,2014-12-24 00:00:00,2014.0,12.0,201 Nashville Ave.,New Orleans,70115.0
500.0,The Cat Practice,2015,Delivered,2014-12-29 00:00:00,2014.0,12.0,1809 Magazine St,New Orleans,70130.0
