"volume","clinic","tag_year","action","action_date","action_year","action_month","address","city","zip"
1000,"Southern Animal Foundation",2015,"Delivered",2014-12-12,"2014","12","1823 Magazine Street","New Orleans","70130"
200,"Banfield 1023 (Elmwood)",2015,"Delivered",2014-12-13,"2014","12","1000 S Clearview Prkwy Ste 1050","Harahan","70123"
100,"Animal Care Center",2015,"Delivered",2014-12-29,"2014","12","313 David Dr.","Metairie","70003"
-83,"Animal Care Center",2015,"Returned",2016-01-05,"2016","1","313 David Dr.","Metairie","70003"
100,"Allstar Animal Clinic",2015,"Delivered",2014-12-24,"2014","12","4701 S Carrollton Ave","New Orleans","70119"
1000,"Metairie Small Animal Hospital",2015,"Delivered",2014-12-18,"2014","12","101 Metairie Rd","Metairie","70005"
-48,"Metairie Small Animal Hospital",2015,"Returned",2015-01-13,"2015","1","101 Metairie Rd","Metairie","70005"
500,"Crescent City Veterinary Hospital",2015,"Delivered",2014-12-18,"2014","12","524 Jefferson Ave","New Orleans","70115"
500,"Algiers Animal Clinic",2015,"Delivered",2014-12-26,"2014","12","3807 General DeGaulle","Algiers","70114"
200,"Animal Medical & Surgical Hospital",2015,"Delivered",2014-12-27,"2014","12","3001 North Causeway Blvd","Metairie","70002"
30,"At Home Veterinary Care",2015,"Delivered",2015-02-04,"2015","2","PO Box 231145","Harahan","70123"
50,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-28,"2015","3",NA,NA,NA
100,"Aurora Animal Hospital",2015,"Delivered",2015-01-05,"2015","1","565 Holmes Blvd","Gretna","70056"
100,"House Calls!",2015,"Delivered",2015-01-07,"2015","1",NA,NA,NA
-85,"House Calls!",2015,"Returned",2016-02-02,"2016","2",NA,NA,NA
100,"Banfield 1175 (Veterans)",2015,"Delivered",2014-12-29,"2014","12","6851 Veterans Memorial Blvd","Metairie","70003"
200,"Canal Street Veterinary Hospital",2015,"Delivered",2014-12-24,"2014","12","4022 Canal St","New Orleans","70119"
100,"Villalobos",2015,"Delivered",2015-11-04,"2015","11",NA,NA,NA
100,"Chateau Veterinary Hospital",2015,"Delivered",2014-12-29,"2014","12","704 W. Esplanade Ave ","Kenner","70065"
-98,"Chateau Veterinary Hospital",2015,"Returned",2016-01-05,"2016","1","704 W. Esplanade Ave ","Kenner","70065"
-2,"Chateau Veterinary Hospital",2015,"Returned",2015-11-15,"2015","11","704 W. Esplanade Ave ","Kenner","70065"
100,"Manhattan Animal Clinic, LLC",2015,"Delivered",2014-12-27,"2014","12",NA,"Harvey",NA
58,"Manhattan Animal Clinic, LLC",2015,"Delivered",2015-12-27,"2015","12",NA,"Harvey",NA
